工作单位,实习岗位,工作地点,岗位职责,岗位要求,薪资待遇,Unnamed: 6
扬子江药业集团北京海燕药业有限公司,质量管培生,北京市昌平区生命园路16号,"岗位职责：1、研究跟踪与分析行业发展趋势，搜集信息并撰写行业分析报告；
2、协助准备交易所需相关文件，包括但不仅限于投资报告、融资建议书、商业计划书、财务模型等；
3、协助潜在投资机构的尽职调查；
4、为团队其他成员提供必要支持。","岗位要求： 医药相关专业即可
",7000.0,
北京浩悦咨询服务有限公司,招聘岗位： 投行管培生-,上海市、北京市、深圳市,"1.协助参与集团、IPO、上市公司的审计工作；
2.收集审计信息、整理审计文件；
3.在项目经理的指导下，及时完成其交办的各项工作任务。","岗位要求：1、国内外名校生物学、医学、药学、药物化学或金融学等相关专业硕士、博士24届应届生，提供留用机会；
2、每周出勤3天以上，管培期不少于3个月；
3、有大健康领域投资机构、投行实习经验，或有四大会计师事务所及知名咨询公司大健康项目实习经验者优先；
4、对投资工作充满热情，抗压能力强，擅长案头工作，具备较强的分析判断能力，快速学习能力、团队合作能力。

",10000.0,
天健会计师事务所（特殊普通合伙）四川分所,财务审计实习生,四川省成都市武侯区锦城大道666号3栋20层8号,"（一）业务助理方向
学习和了解公司业务，深入业务部门跟岗实践，学习并掌握相关岗位专业
知识、工作技能和工作流程，参与重点项目，支持相关工作。
（二）支持保障方向
学习和了解公司战略规划，熟悉金融内控合规知识，积累金融行业内部管
理、服务保障的相关工作经验。","1.本岗位面向财务、会计、审计类大三及以上本科、硕士在校大学生；
2.要求高考分数上一段线、学业成绩优秀，英语四级以上水平，口语优秀者优先考虑；
3.具备良好的沟通能力及团队合作精神，富有责任心和毅力，吃苦耐劳，适应高强度工作及经常性出差；
4.熟练使用OFFICE办公软件；
5.要求尽快到岗全职实习1-2个月。",2250.0,
中信金融租赁有限公司,金融业务人员,朝阳区东三环中路1号环球金融中心17层 ,,"2024年和2025年将毕业的国内院校在校生、2024年8月前将毕业的海外院校毕业生。
（一）学历要求：要求实习生毕业时取得本科及以上学历。
（二）专业要求：
业务助理方向实习生主修经济学、管理学、法学、工学（飞机、船舶相关专业优先）等相关专业优先；
支持保障方向实习生主修经济学、工商管理、审计学、历史学、哲学、社会学等相关专业优先。
（三）其他要求
1.遵纪守法、诚实守信，无违法、违规、违纪等不良记录。
2.非英语专业毕业生一般应通过大学英语四级或同等级别及以上考试。
3.具有良好的学习和研究分析能力、文字表达能力、组织协调能力和团队合作意识。
4.身心健康，能够承担一定的工作压力。
5.符合履职回避的有关规定。
6.其他应具备的条件。",3750.0,
上海红星美凯龙品牌管理有限公司天津河西区分公司,天津红星美凯龙管理培训生（营销专员）（运营专员）,天津市河西区黑牛城道29号-1,,"1.本科以上学历
2.管理类优先，除财务岗位以外其他岗位不限专业",2250.0,
易方达基金管理有限公司,"（1）易方达基金
① 投研类：行业研究员、多资产研究员、宏观研究员、策略研究员、信用研究员、量化研究员、指数研究员、FOF研究员、ESG研究员
② 营销类：渠道销售、运营策略分析师、营销策划专员、年金客户经理、宣传策划专员、数据挖掘与商业分析专员、客户顾问岗
③ 金融科技类：智能方案研究员、研发工程师、大数据分析师、算法工程师、测试开发工程师、SRE工程师
④ 运营类：产品研究员、股票交易员、固收交易员、合规专员、风险管理专员、数据服务专员、运营专员、行政专员
（2）易方达资管：
股权投资研究员、机构销售、风控专员",北京、上海、广州、深圳、香港、珠海横琴等,,2024年9月-2025年8月应届毕业生，硕士研究生,3000.0,
北京华联商厦股份有限公司,人力资源实习生,北京市通州区永乐经济开发区永开路1号,上市公司、IPO项目2023年审计公司，协助审计人员完成现场审计工作,专业不限，人力资源专业优先,3750.0,
立信会计师事务所(特殊普通合伙)天津分所,,洛阳市（偶尔回北京/天津，北京/天津最好有住所）,"1、Marketing Communication (60%):协助设计IMC 方案并跟进所有相关执行，负责产品社媒种草（KOL&KOC 投放），参与投放策略、制定人选、执行审稿到投后复盘的全流程；对接 agency 进行物料设计、素材剪辑与投后分析；
2、Product Management (30%):协助明星产品从概念到落地全流程，根据要求不定期复盘产品生意表现、独立完成竞品分析、盘点市场热门趋势；
3、Execution Support (10%):与 Cross-Function 沟通协作，推动项目执行。","1、审计、会计、财务管理等专业，有良好的财务基础；
2、熟练使用Office；
3、我们非常注重以下品质：诚信、踏实、勤奋、团队合作精神；
4、有事务所实习经验的优先。",4050.0,
欧莱雅（中国）有限公司,,上海市静安区越洋广场?17F,"1、持续追踪目标行业的发展动态，定期完成行业咨询收集，整理及汇总输出；
2、深入行业研究、追踪竞争对手，开展专题研究，为公司业务的开展提供决策支持；
3、其他辅助性工作：包括行业信息及数据收集、专家访谈、纪要记录等。","1、每周5天，持续时间4个月以上，到岗时间ASAP【不满足勿投】优先考虑有相关实习经验，可实习时间长的候选人；
2、有极强的Social sense，熟悉小红书和抖音生态/流行趋势，对Social有自己的见解；
3、Multi-task能力强，具备较好抗压能力和快速学习能力，熟练使用Powerpoint、Excel进行工作；
4、负责靠谱，对自己的工作有Ownership；对护肤美妆快消充满好奇心，爱思考、有热情；
5、英语能力优秀，可以很好适应全英文工作环境，并协助翻译、文件撰写等工作。",5100.0,
高途教育科技集团有限公司,经营分析部-行业研究实习生,北京市,"1、拥有一定的翻译能力，能帮助翻译和审核文章内容；
2、Office软件办公能力，能够制作 Excel表格和ppt；
3、每周需要协作完成press coverage统计和微信发布工作；
4、使用 Wordpress帮助亚太地区官网发布博客和新闻稿；
5、一定的数据分析和整理能力；
6、能够帮忙处理公司日常工作及展会准备工作。","1、Top本科及研究生，研究生同学优先；
2、有咨询、投行、券商、互联网商分部门实习经历优先；
3、熟练掌握PPT及Excel；
4、可长期实习者优先，一周至少保持三天到公司工作。",6000.0,
上海贝泰妮生物科技有限公司,英敏特市场部实习生,上海静安区万航渡路越商大厦23楼,"1、协助融资租赁项目前中后期事务, 撰写项目尽调报告等；
2、档案整理等日常事务；
3、部门交办的其他事务。","1、每周3天(灵活工作，可酌情居家办公)；
2、能做3个月及以上者优先(可开实习证明)。",4500.0,
兴业银行有限公司广州分行,租赁业务部实习生,广东省广州市天河区天河路101号兴业银行大厦,"1、参与项目执行工作，协助项目人员完成现场尽职调查、招股说明书等材料撰写、工作底稿收集、整理等；
2、协助反馈意见回复，工作底稿收集、整理等；
3、完成部门、项目组交办的其他工作。","1、一周不少于3天，大四保研或研一同学优先，能接受六个月实习期优先；
2、经济、金融、会计等相关专业优先。",3750.0,
民生证券股份有限公司,IPO项目承做实习生,深圳光明区,"1.支持商业化业务部门招聘需求（社招、实习生），完成简历寻访、screening call、面试流程安排及入职前保温等事宜，负责需求对接到入职安排的全流程；
2.定期维护招聘渠道和相关文档，能够发现流程中问题总结原因并优化SOP；
3.协助统计分析日常的招聘数据，并提出招聘流程优化方案、迭代招聘工具；
4. 能够与业务对话，充分理解岗位需求并承接部分高阶招聘。","1、国内外重点院校在读硕士研究生或大四保研学生，大四或研一学生优先；
2、对投行工作有热情，踏实认真，可承担较大工作压力；
3、具有券商投行、会计师事务所等实习经验者优先；通过注册会计师考试部分科目、司法考试、保代考试者的优先。",5750.0,
书行科技（北京）有限公司（小红书）,HR实习生,北京朝阳区中海国际中心B座,,"1.全日制统招本科或硕士在读，25年后毕业，专业不限；
2.有互联网或其他企业招聘实习经验优先，对广告业务有了解；
3.较强的表达能力、倾听能力和主动学习能力，能高效工作，适应互联网公司节奏；
4.大小周全勤，能实习3个月及以上，尽快到岗。",4500.0,
